Date,Index
2014-12,99.7
2015-01,99.6
2015-02,99.4
2015-03,99.7
2015-04,100.2
2015-05,100.4
2015-06,100.2
2015-07,100.1
2015-08,100.2
2015-09,100.3
2015-10,100.2
2015-11,99.9
2015-12,99.8
2016-01,99.5
2016-02,99.6
2016-03,99.7
2016-04,99.9
2016-05,100.0
2016-06,99.9
2016-07,99.6
2016-08,99.7
2016-09,99.8
2016-10,100.4
2016-11,100.4
2016-12,100.1
2017-01,100.0
2017-02,99.8
2017-03,99.9
2017-04,100.3
2017-05,100.4
2017-06,100.2
2017-07,100.1
2017-08,100.3
2017-09,100.5
2017-10,100.6
2017-11,100.9
2017-12,101.2
2018-01,101.3
2018-02,101.3
2018-03,101.0
2018-04,100.9
2018-05,101.0
2018-06,100.9
2018-07,101.0
2018-08,101.6
2018-09,101.7
2018-10,102.0
2018-11,101.8
2018-12,101.5
2019-01,101.5
2019-02,101.5
2019-03,101.5
2019-04,101.8
2019-05,101.8
2019-06,101.6
2019-07,101.6
2019-08,101.8
2019-09,101.9
2019-10,102.2
2019-11,102.3
2019-12,102.3
2020-01,102.2
